ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-2b4423,A-158f4e,2023-12-07 00:00:00,2023-12-07 00:00:00,11.00,high,99,,f
T-b17401,A-50bb9f,2024-02-21 00:00:00,2024-02-21 00:00:00,12.00,high,171,3,f
T-462ece,A-b9f5b1,2023-07-17 00:00:00,2023-07-19 00:00:00,51.00,low,50,3,t
T-066714,A-b2225d,2024-04-11 00:00:00,2024-04-12 00:00:00,24.00,high,52,3,f
T-8c694d,A-883b7d,2024-05-24 00:00:00,2024-05-24 00:00:00,15.00,low,39,3,t
T-804c6c,A-751bd4,2024-10-29 00:00:00,2024-10-30 00:00:00,28.00,medium,49,4,f
T-64b0b8,A-533452,2023-09-27 00:00:00,2023-09-29 00:00:00,56.00,low,16,5,f
T-bfa749,A-684255,2023-08-04 00:00:00,2023-08-04 00:00:00,1.00,low,137,5,f
T-3b24c1,A-0aaf6e,2024-06-09 00:00:00,2024-06-11 00:00:00,54.00,high,151,3,f
T-68c8a6,A-7c4956,2024-09-23 00:00:00,2024-09-23 00:00:00,19.00,high,34,,f
T-bbe374,A-3ce5b8,2024-01-15 00:00:00,2024-01-17 00:00:00,50.00,low,155,,f
T-bccf63,A-82d8a6,2024-11-29 00:00:00,2024-12-01 00:00:00,70.00,high,67,3,f
T-98448a,A-462d45,2024-02-10 00:00:00,2024-02-10 00:00:00,18.00,high,99,4,f
T-f68dde,A-118d55,2024-09-08 00:00:00,2024-09-08 00:00:00,14.00,medium,1,4,f
T-5f84c5,A-1f559b,2024-01-22 00:00:00,2024-01-24 00:00:00,62.00,high,28,4,f
T-9bae5a,A-7cfe77,2024-04-14 00:00:00,2024-04-14 00:00:00,23.00,urgent,176,5,f
T-22842d,A-533452,2024-08-05 00:00:00,2024-08-05 00:00:00,8.00,high,66,3,f
T-f8b58d,A-ee42db,2023-01-16 00:00:00,2023-01-18 00:00:00,57.00,urgent,144,,f
T-3a2a66,A-e98302,2023-09-15 00:00:00,2023-09-17 00:00:00,66.00,low,150,,f
T-490c4a,A-503d5a,2023-08-08 00:00:00,2023-08-08 00:00:00,9.00,urgent,179,,f
T-6cce32,A-659280,2024-06-12 00:00:00,2024-06-12 00:00:00,6.00,medium,176,4,f
T-ec46f5,A-f5641b,2023-04-19 00:00:00,2023-04-21 00:00:00,55.00,high,93,,f
T-219077,A-fb186e,2024-02-09 00:00:00,2024-02-10 00:00:00,42.00,medium,58,,f
T-6b6fb7,A-716841,2024-02-11 00:00:00,2024-02-11 00:00:00,4.00,medium,119,3,f
T-2e5ba4,A-0be015,2024-12-05 00:00:00,2024-12-05 00:00:00,14.00,low,46,4,t
T-8001a4,A-c9bb3e,2023-05-08 00:00:00,2023-05-08 00:00:00,11.00,urgent,53,4,t
T-a1d9dd,A-fd7ad3,2024-04-27 00:00:00,2024-04-29 00:00:00,64.00,urgent,21,3,f
T-121d6f,A-d5a319,2024-09-17 00:00:00,2024-09-17 00:00:00,17.00,low,132,4,t
T-fd1ba2,A-d27f50,2023-12-15 00:00:00,2023-12-16 00:00:00,40.00,high,158,4,f
T-b6d7ac,A-a0ca4e,2023-10-29 00:00:00,2023-10-29 00:00:00,11.00,low,12,5,t
T-f2b9a5,A-f6b2fb,2024-01-19 00:00:00,2024-01-20 00:00:00,36.00,medium,138,5,t
T-61fc87,A-034368,2023-01-13 00:00:00,2023-01-15 00:00:00,65.00,medium,127,3,f
T-00fa83,A-9208f0,2023-04-01 00:00:00,2023-04-03 00:00:00,70.00,low,6,,f
T-358dd5,A-ced9aa,2023-08-20 00:00:00,2023-08-22 00:00:00,57.00,medium,131,,f
T-54e843,A-bb3bd4,2024-10-06 00:00:00,2024-10-06 00:00:00,8.00,medium,63,3,f
T-50ad36,A-922109,2023-05-07 00:00:00,2023-05-08 00:00:00,26.00,medium,126,,f
T-06bf16,A-4a4c2d,2023-08-02 00:00:00,2023-08-03 00:00:00,30.00,medium,44,4,f
T-f155f0,A-b179bf,2023-08-06 00:00:00,2023-08-06 00:00:00,6.00,high,156,,f
T-777753,A-ce66f8,2023-01-23 00:00:00,2023-01-25 00:00:00,69.00,low,74,,f
T-857a8d,A-bb3bd4,2024-01-08 00:00:00,2024-01-10 00:00:00,66.00,medium,52,,f
T-384dcb,A-bc4d48,2024-11-18 00:00:00,2024-11-20 00:00:00,71.00,urgent,6,5,t
T-970c6c,A-439b2f,2024-12-12 00:00:00,2024-12-12 00:00:00,20.00,urgent,123,,f
T-50c7f8,A-a1bbb6,2024-01-18 00:00:00,2024-01-19 00:00:00,36.00,urgent,47,,f
T-a528f4,A-b78bf8,2023-04-15 00:00:00,2023-04-16 00:00:00,24.00,urgent,7,3,f
T-7b7a5a,A-1e50e0,2024-10-02 00:00:00,2024-10-02 00:00:00,19.00,high,170,5,t
T-c9a73c,A-b9f5b1,2024-10-24 00:00:00,2024-10-24 00:00:00,18.00,urgent,86,4,f
T-486b6b,A-883b7d,2023-01-28 00:00:00,2023-01-28 00:00:00,22.00,urgent,102,5,f
T-19cc99,A-c16b88,2023-04-28 00:00:00,2023-04-30 00:00:00,53.00,high,134,,f
T-35fc90,A-e98302,2023-10-23 00:00:00,2023-10-25 00:00:00,67.00,low,121,,f
T-d4142b,A-700ade,2023-05-25 00:00:00,2023-05-27 00:00:00,66.00,urgent,69,4,f
T-6ba215,A-56962b,2023-03-24 00:00:00,2023-03-26 00:00:00,66.00,low,73,3,f
T-e5c785,A-b54c01,2023-03-07 00:00:00,2023-03-08 00:00:00,26.00,medium,41,3,f
T-4f0d98,A-e40f45,2023-03-31 00:00:00,2023-03-31 00:00:00,10.00,urgent,19,,f
T-e97da3,A-45ce7a,2024-04-04 00:00:00,2024-04-05 00:00:00,25.00,low,81,,f
T-990a0e,A-fa3095,2024-11-06 00:00:00,2024-11-08 00:00:00,48.00,high,28,,f
T-ce1dee,A-d792a6,2024-10-10 00:00:00,2024-10-11 00:00:00,32.00,low,126,,f
T-b7b797,A-bbc346,2024-03-11 00:00:00,2024-03-12 00:00:00,35.00,medium,24,,f
T-847498,A-7cfe77,2023-07-17 00:00:00,2023-07-19 00:00:00,59.00,high,36,,f
T-2ef49b,A-cc1d8d,2023-09-15 00:00:00,2023-09-16 00:00:00,45.00,medium,33,5,f
T-fb6fa3,A-0a62f5,2024-11-26 00:00:00,2024-11-26 00:00:00,8.00,urgent,57,,f
T-a3f900,A-ae052e,2023-07-22 00:00:00,2023-07-23 00:00:00,29.00,medium,126,3,f
T-b9e7df,A-526d93,2023-05-10 00:00:00,2023-05-10 00:00:00,5.00,medium,158,,f
T-0e6db2,A-ccc747,2024-06-27 00:00:00,2024-06-29 00:00:00,60.00,urgent,169,5,f
T-4c2f4b,A-726cfa,2023-12-02 00:00:00,2023-12-03 00:00:00,37.00,high,150,,f
T-e7dc15,A-39868b,2024-03-26 00:00:00,2024-03-26 00:00:00,22.00,medium,137,,f
T-9876fb,A-2e3bad,2024-01-18 00:00:00,2024-01-18 00:00:00,14.00,high,92,,f
T-2c6679,A-0be015,2024-07-16 00:00:00,2024-07-18 00:00:00,51.00,medium,73,5,f
T-03303d,A-87aa7b,2023-11-29 00:00:00,2023-12-01 00:00:00,59.00,high,7,,t
T-1ed4c4,A-c62e55,2024-03-21 00:00:00,2024-03-21 00:00:00,15.00,urgent,129,5,f
T-7c6ab3,A-65a46c,2024-12-23 00:00:00,2024-12-25 00:00:00,57.00,urgent,96,5,f
T-67bfcf,A-3932db,2023-09-01 00:00:00,2023-09-02 00:00:00,36.00,urgent,144,3,f
T-088eb6,A-ac14bb,2024-03-28 00:00:00,2024-03-28 00:00:00,21.00,high,23,,f
T-b4bec0,A-117171,2023-08-05 00:00:00,2023-08-06 00:00:00,33.00,urgent,137,,f
T-03d219,A-ae052e,2024-01-02 00:00:00,2024-01-04 00:00:00,53.00,urgent,6,,f
T-7c2d38,A-ad3abd,2024-11-03 00:00:00,2024-11-03 00:00:00,1.00,high,35,,f
T-1112c6,A-de24d5,2023-09-22 00:00:00,2023-09-25 00:00:00,72.00,urgent,24,3,f
T-938c6d,A-a8d89d,2023-08-19 00:00:00,2023-08-21 00:00:00,60.00,low,132,,f
T-d2e273,A-9f9299,2024-10-05 00:00:00,2024-10-05 00:00:00,5.00,high,94,,f
T-bdc72c,A-34d880,2024-11-19 00:00:00,2024-11-21 00:00:00,62.00,medium,106,3,f
T-7d4777,A-66224b,2024-11-20 00:00:00,2024-11-21 00:00:00,40.00,medium,4,3,f
T-03624c,A-7c6b6b,2024-01-29 00:00:00,2024-01-31 00:00:00,58.00,low,68,3,f
T-3fab11,A-463db0,2023-03-12 00:00:00,2023-03-14 00:00:00,55.00,high,123,5,f
T-37f2cf,A-faa28c,2024-05-29 00:00:00,2024-05-30 00:00:00,41.00,urgent,127,5,t
T-826f63,A-f9cc74,2023-07-23 00:00:00,2023-07-26 00:00:00,72.00,low,169,,f
T-f7ec04,A-ad296b,2023-10-18 00:00:00,2023-10-18 00:00:00,16.00,urgent,74,3,t
T-856d24,A-dbc825,2023-05-05 00:00:00,2023-05-07 00:00:00,53.00,high,166,,f
T-cbfd6b,A-8b0451,2023-03-15 00:00:00,2023-03-16 00:00:00,25.00,medium,137,4,f
T-66636b,A-37f969,2023-07-25 00:00:00,2023-07-27 00:00:00,70.00,medium,116,4,f
T-be44ea,A-bc4d48,2024-09-17 00:00:00,2024-09-19 00:00:00,49.00,medium,19,5,f
T-fcd539,A-7da956,2024-07-12 00:00:00,2024-07-12 00:00:00,21.00,urgent,97,,f
T-433a53,A-297a2d,2023-02-28 00:00:00,2023-02-28 00:00:00,10.00,high,160,3,f
T-5fb9f7,A-0f7d77,2023-01-06 00:00:00,2023-01-06 00:00:00,19.00,medium,88,,f
T-ced995,A-76fa4d,2024-06-24 00:00:00,2024-06-25 00:00:00,43.00,urgent,92,,f
T-9398db,A-bbe56f,2024-06-28 00:00:00,2024-06-30 00:00:00,48.00,low,107,5,f
T-58a90d,A-cb6cc6,2024-11-25 00:00:00,2024-11-26 00:00:00,26.00,high,170,3,f
T-8833a5,A-a1b80b,2023-12-02 00:00:00,2023-12-03 00:00:00,34.00,medium,150,4,f
T-ef7c6e,A-f446b6,2024-05-14 00:00:00,2024-05-14 00:00:00,1.00,high,47,5,f
T-b8ed8f,A-22f2df,2023-01-18 00:00:00,2023-01-18 00:00:00,11.00,high,99,,f
T-97fa24,A-f51f16,2023-06-16 00:00:00,2023-06-16 00:00:00,9.00,medium,73,3,f
T-290bd4,A-ccc747,2023-06-02 00:00:00,2023-06-02 00:00:00,3.00,medium,18,,f
T-c45238,A-3f9cc0,2024-11-03 00:00:00,2024-11-05 00:00:00,60.00,medium,139,,f
T-a8de52,A-5b4ebb,2024-11-07 00:00:00,2024-11-07 00:00:00,17.00,medium,128,5,f
T-73259c,A-54ecc2,2023-05-09 00:00:00,2023-05-09 00:00:00,20.00,medium,59,,f
T-eace7b,A-9c18c4,2023-02-12 00:00:00,2023-02-13 00:00:00,32.00,low,156,,f
T-9cb671,A-ce550d,2023-06-11 00:00:00,2023-06-13 00:00:00,55.00,high,73,,f
T-ae23c2,A-7e0a10,2023-03-09 00:00:00,2023-03-10 00:00:00,39.00,urgent,127,5,f
T-1cbbd0,A-c1dfe1,2024-01-28 00:00:00,2024-01-29 00:00:00,33.00,urgent,38,4,f
T-78b6e2,A-55f257,2023-09-11 00:00:00,2023-09-12 00:00:00,31.00,high,45,5,f
T-a941f1,A-a09355,2023-10-20 00:00:00,2023-10-20 00:00:00,8.00,low,129,5,f
T-667845,A-82861f,2024-09-17 00:00:00,2024-09-17 00:00:00,11.00,urgent,77,3,f
T-546223,A-ccabf0,2023-01-04 00:00:00,2023-01-06 00:00:00,61.00,high,46,4,f
T-6a2899,A-4437e4,2023-09-12 00:00:00,2023-09-14 00:00:00,51.00,medium,136,,t
T-ceb781,A-712533,2023-07-17 00:00:00,2023-07-17 00:00:00,9.00,low,108,3,f
T-365342,A-39868b,2023-04-04 00:00:00,2023-04-05 00:00:00,29.00,low,146,5,f
T-e9e7a7,A-3be56b,2023-06-17 00:00:00,2023-06-17 00:00:00,22.00,low,107,3,f
T-4be927,A-96bbc6,2023-11-04 00:00:00,2023-11-06 00:00:00,62.00,low,31,3,f
T-5b7600,A-bd4513,2023-08-28 00:00:00,2023-08-29 00:00:00,45.00,medium,127,5,f
T-d0e9c2,A-0f6450,2024-02-27 00:00:00,2024-02-28 00:00:00,36.00,medium,112,,f
T-62d8ce,A-50f3f7,2024-09-01 00:00:00,2024-09-02 00:00:00,26.00,low,165,5,f
T-2a24d4,A-8145a0,2023-08-19 00:00:00,2023-08-19 00:00:00,17.00,urgent,87,3,f
T-a3d1d0,A-c58f49,2023-08-24 00:00:00,2023-08-25 00:00:00,44.00,urgent,54,,f
T-ade86f,A-e3bd71,2024-01-25 00:00:00,2024-01-25 00:00:00,16.00,low,96,,f
T-b8e4c5,A-ef84cf,2023-11-03 00:00:00,2023-11-04 00:00:00,34.00,low,98,,f
T-ffeda5,A-560d27,2023-11-12 00:00:00,2023-11-13 00:00:00,40.00,medium,90,,f
T-e938bb,A-832ec2,2024-07-24 00:00:00,2024-07-26 00:00:00,54.00,medium,171,4,f
T-85af66,A-1f7acb,2024-01-12 00:00:00,2024-01-12 00:00:00,13.00,medium,165,,f
T-e13c08,A-de58ca,2023-12-28 00:00:00,2023-12-28 00:00:00,6.00,low,23,,f
T-f365f1,A-9779ad,2024-10-14 00:00:00,2024-10-15 00:00:00,43.00,medium,161,5,f
T-dd45ee,A-8ed5dd,2024-12-09 00:00:00,2024-12-09 00:00:00,8.00,high,97,3,f
T-59d842,A-158f4e,2024-08-05 00:00:00,2024-08-07 00:00:00,67.00,medium,168,4,f
T-4a12e6,A-d42431,2024-08-07 00:00:00,2024-08-08 00:00:00,47.00,urgent,108,5,f
T-3bfb51,A-425e76,2024-05-07 00:00:00,2024-05-07 00:00:00,23.00,high,60,,f
T-d3391b,A-cb5333,2023-11-25 00:00:00,2023-11-27 00:00:00,65.00,low,165,,f
T-ae6671,A-798a3f,2023-07-16 00:00:00,2023-07-18 00:00:00,58.00,urgent,112,,f
T-300e16,A-22d9d2,2024-10-15 00:00:00,2024-10-15 00:00:00,4.00,urgent,131,3,t
T-167962,A-e3bd71,2023-11-09 00:00:00,2023-11-10 00:00:00,32.00,high,143,3,f
T-1760ba,A-0b0d6d,2023-08-03 00:00:00,2023-08-04 00:00:00,36.00,medium,1,3,f
T-a231f8,A-76fa4d,2023-04-19 00:00:00,2023-04-19 00:00:00,22.00,high,177,4,f
T-706693,A-b54c01,2023-12-31 00:00:00,2024-01-01 00:00:00,38.00,medium,19,3,f
T-fe8af7,A-90a8c8,2023-10-13 00:00:00,2023-10-14 00:00:00,24.00,low,33,3,f
T-a427d8,A-4ef964,2023-03-24 00:00:00,2023-03-24 00:00:00,5.00,high,61,3,f
T-30b4eb,A-104f1a,2024-12-30 00:00:00,2024-12-30 00:00:00,12.00,medium,37,,f
T-abb562,A-700ade,2023-09-08 00:00:00,2023-09-08 00:00:00,12.00,low,6,5,f
T-a819c9,A-139c3b,2023-07-11 00:00:00,2023-07-13 00:00:00,62.00,urgent,38,,f
T-36d4a7,A-902ef7,2024-07-07 00:00:00,2024-07-08 00:00:00,37.00,urgent,130,,f
T-5c2f82,A-1f559b,2023-12-13 00:00:00,2023-12-15 00:00:00,68.00,urgent,143,4,f
T-701980,A-ced9aa,2023-09-15 00:00:00,2023-09-15 00:00:00,20.00,low,125,3,f
T-5f6c15,A-e43bf7,2024-12-25 00:00:00,2024-12-25 00:00:00,5.00,medium,26,3,f
T-07593c,A-310452,2023-11-24 00:00:00,2023-11-24 00:00:00,11.00,medium,145,3,f
T-6807e7,A-a33200,2023-08-23 00:00:00,2023-08-23 00:00:00,16.00,low,118,4,f
T-027d8f,A-508199,2024-03-23 00:00:00,2024-03-24 00:00:00,44.00,urgent,27,,f
T-3798d5,A-5ed98d,2024-03-28 00:00:00,2024-03-28 00:00:00,12.00,medium,56,,f
T-763f2d,A-118f1c,2023-06-22 00:00:00,2023-06-24 00:00:00,64.00,medium,141,3,f
T-196fca,A-6843f2,2024-04-27 00:00:00,2024-04-29 00:00:00,61.00,high,22,3,f
T-b2adad,A-54ecc2,2024-10-29 00:00:00,2024-10-31 00:00:00,57.00,medium,20,5,f
T-37b69f,A-bb1eaa,2024-05-21 00:00:00,2024-05-21 00:00:00,1.00,urgent,114,4,f
T-f873ff,A-9123ac,2023-04-21 00:00:00,2023-04-22 00:00:00,40.00,low,73,4,f
T-2a2ecd,A-533452,2023-10-26 00:00:00,2023-10-27 00:00:00,47.00,medium,30,,f
T-b29471,A-44dc83,2023-06-11 00:00:00,2023-06-12 00:00:00,40.00,high,53,4,f
T-c32093,A-313be3,2023-01-27 00:00:00,2023-01-27 00:00:00,8.00,urgent,41,,f
T-f0f18c,A-ed510f,2023-03-31 00:00:00,2023-04-02 00:00:00,64.00,high,137,,f
T-4c7b15,A-443f6f,2023-01-22 00:00:00,2023-01-24 00:00:00,50.00,low,126,5,f
T-ca36f7,A-812c5b,2023-02-28 00:00:00,2023-03-01 00:00:00,38.00,high,108,4,f
T-a1bab0,A-45ce7a,2023-04-25 00:00:00,2023-04-27 00:00:00,50.00,medium,141,4,f
T-5daa6c,A-f44180,2024-04-28 00:00:00,2024-04-29 00:00:00,32.00,low,157,5,f
T-ea0979,A-855a48,2024-06-30 00:00:00,2024-07-01 00:00:00,38.00,urgent,177,,f
T-308071,A-f51f16,2023-04-16 00:00:00,2023-04-17 00:00:00,35.00,high,10,3,f
T-ed091b,A-09316c,2023-08-12 00:00:00,2023-08-14 00:00:00,58.00,medium,129,4,f
T-fd14d8,A-751c58,2023-06-21 00:00:00,2023-06-23 00:00:00,49.00,medium,178,,f
T-3a3a53,A-139c3b,2024-12-18 00:00:00,2024-12-19 00:00:00,26.00,medium,89,5,f
T-35ae60,A-7641d3,2023-12-17 00:00:00,2023-12-19 00:00:00,70.00,medium,174,,f
T-93f5f0,A-3c1a3f,2023-08-04 00:00:00,2023-08-04 00:00:00,5.00,low,20,,f
T-0a835d,A-0aaf6e,2023-11-06 00:00:00,2023-11-08 00:00:00,56.00,low,14,,f
T-a79931,A-b179bf,2023-08-23 00:00:00,2023-08-25 00:00:00,53.00,low,94,4,f
T-54b348,A-50f3f7,2023-05-31 00:00:00,2023-06-02 00:00:00,55.00,low,41,,f
T-ee77ae,A-8ed5dd,2024-05-17 00:00:00,2024-05-19 00:00:00,51.00,low,87,,f
T-fb798a,A-8bde0c,2024-11-07 00:00:00,2024-11-07 00:00:00,9.00,medium,64,,f
T-b0b086,A-bb3bd4,2023-02-18 00:00:00,2023-02-19 00:00:00,35.00,medium,65,5,f
T-6de710,A-7da956,2024-02-04 00:00:00,2024-02-05 00:00:00,42.00,low,55,,f
T-d319e4,A-eb7c38,2024-03-04 00:00:00,2024-03-05 00:00:00,25.00,low,46,,f
T-041287,A-34ea2f,2024-07-15 00:00:00,2024-07-17 00:00:00,70.00,urgent,19,4,f
T-496c6b,A-1e1b80,2024-08-23 00:00:00,2024-08-25 00:00:00,69.00,low,150,3,f
T-d92e2e,A-712426,2024-07-18 00:00:00,2024-07-20 00:00:00,67.00,high,67,4,f
T-6f8270,A-dbc825,2023-11-11 00:00:00,2023-11-14 00:00:00,72.00,high,118,3,f
T-2a21f8,A-1f7acb,2024-05-30 00:00:00,2024-05-30 00:00:00,8.00,medium,92,4,f
T-08e86b,A-9f9299,2023-10-05 00:00:00,2023-10-05 00:00:00,3.00,urgent,160,,f
T-bdbc42,A-31ab9a,2024-09-09 00:00:00,2024-09-11 00:00:00,62.00,urgent,90,4,f
T-996921,A-751bd4,2024-11-13 00:00:00,2024-11-14 00:00:00,41.00,urgent,124,5,f
T-c722ef,A-ced9aa,2023-09-17 00:00:00,2023-09-17 00:00:00,18.00,low,69,,f
T-100066,A-7f6b86,2023-01-11 00:00:00,2023-01-13 00:00:00,48.00,high,166,,f
T-51307e,A-b78bf8,2023-09-15 00:00:00,2023-09-16 00:00:00,40.00,low,93,5,f
T-e545b2,A-dfbd31,2024-01-09 00:00:00,2024-01-10 00:00:00,45.00,low,158,5,f
T-5a402d,A-e7beab,2023-04-25 00:00:00,2023-04-27 00:00:00,63.00,low,138,3,f
T-287b04,A-92a333,2023-05-07 00:00:00,2023-05-08 00:00:00,25.00,low,11,,f
T-2c61f3,A-4bfa33,2024-06-29 00:00:00,2024-06-29 00:00:00,16.00,high,180,3,f
T-c2b413,A-90a8c8,2024-03-31 00:00:00,2024-04-02 00:00:00,70.00,urgent,13,3,f
T-a7489c,A-7e0a10,2024-01-24 00:00:00,2024-01-26 00:00:00,68.00,high,72,,f
T-011d5c,A-a09355,2023-05-13 00:00:00,2023-05-15 00:00:00,63.00,urgent,34,3,f
T-af4249,A-dec005,2023-10-02 00:00:00,2023-10-04 00:00:00,66.00,low,180,3,f
T-2904e8,A-692f18,2024-11-11 00:00:00,2024-11-11 00:00:00,20.00,low,144,,f
T-a9333e,A-5ed98d,2024-09-06 00:00:00,2024-09-09 00:00:00,72.00,medium,77,,f
T-4d5bca,A-970c97,2023-01-29 00:00:00,2023-01-31 00:00:00,61.00,urgent,139,5,f
T-f0d824,A-b9f5b1,2023-12-01 00:00:00,2023-12-02 00:00:00,28.00,urgent,165,3,f
T-05b5f6,A-cc1d8d,2024-03-05 00:00:00,2024-03-06 00:00:00,40.00,high,137,,f
T-246510,A-bb3bd4,2024-09-29 00:00:00,2024-09-30 00:00:00,41.00,high,160,5,f
T-e7f66c,A-241e75,2023-04-25 00:00:00,2023-04-27 00:00:00,52.00,low,136,,f
T-dcb2e1,A-34d880,2023-10-10 00:00:00,2023-10-12 00:00:00,61.00,medium,78,3,f
T-0e3932,A-118d55,2024-12-09 00:00:00,2024-12-09 00:00:00,11.00,medium,32,4,f
T-52fd00,A-0532a9,2023-01-29 00:00:00,2023-01-29 00:00:00,7.00,medium,49,,f
T-d5e01b,A-de24d5,2023-12-29 00:00:00,2023-12-29 00:00:00,1.00,high,177,,f
T-5a765e,A-3cc791,2024-02-27 00:00:00,2024-02-29 00:00:00,71.00,high,38,5,f
T-1bc086,A-00cac8,2023-09-15 00:00:00,2023-09-15 00:00:00,1.00,urgent,92,,f
T-30ab22,A-65aeb5,2023-09-01 00:00:00,2023-09-03 00:00:00,53.00,high,146,5,f
T-a1ebca,A-712426,2024-12-10 00:00:00,2024-12-11 00:00:00,32.00,medium,43,4,f
T-d9e588,A-bbe56f,2024-08-01 00:00:00,2024-08-01 00:00:00,7.00,low,117,3,f
T-765765,A-4437e4,2023-08-13 00:00:00,2023-08-14 00:00:00,44.00,high,120,,f
T-848076,A-c42f1f,2023-10-31 00:00:00,2023-10-31 00:00:00,8.00,low,105,3,f
T-00644f,A-8adedc,2023-05-22 00:00:00,2023-05-24 00:00:00,66.00,medium,62,,f
T-ec469a,A-e4bf56,2023-07-10 00:00:00,2023-07-12 00:00:00,52.00,urgent,72,5,f
T-d1c41b,A-98a59a,2023-03-22 00:00:00,2023-03-23 00:00:00,24.00,high,68,,f
T-090534,A-cc8c8f,2023-11-30 00:00:00,2023-11-30 00:00:00,7.00,urgent,143,4,f
T-367cc3,A-b7b7b7,2024-08-31 00:00:00,2024-08-31 00:00:00,1.00,medium,159,5,f
T-f86b35,A-139c3b,2024-09-13 00:00:00,2024-09-13 00:00:00,11.00,urgent,108,,f
T-e23a37,A-855a48,2023-05-11 00:00:00,2023-05-11 00:00:00,13.00,high,55,,f
T-776916,A-0a282f,2023-06-12 00:00:00,2023-06-14 00:00:00,65.00,medium,12,5,f
T-0854f6,A-310452,2024-01-31 00:00:00,2024-02-02 00:00:00,67.00,urgent,178,3,f
T-2c34c5,A-034368,2023-08-29 00:00:00,2023-08-31 00:00:00,65.00,low,34,5,f
T-270c25,A-81edc3,2023-12-19 00:00:00,2023-12-21 00:00:00,69.00,high,56,,f
T-f3e69b,A-b7ef83,2024-10-03 00:00:00,2024-10-05 00:00:00,67.00,medium,70,,f
T-2987d9,A-50f3f7,2023-04-17 00:00:00,2023-04-18 00:00:00,30.00,urgent,155,5,t
T-da63ee,A-149a69,2023-01-30 00:00:00,2023-01-31 00:00:00,33.00,high,79,5,f
T-44b600,A-eafc6e,2023-07-14 00:00:00,2023-07-16 00:00:00,64.00,medium,136,,f
T-4d0d5b,A-5a215a,2024-12-06 00:00:00,2024-12-06 00:00:00,12.00,urgent,126,4,f
T-7cca37,A-dbc825,2024-10-02 00:00:00,2024-10-03 00:00:00,40.00,medium,128,5,t
T-122749,A-4e960a,2024-01-14 00:00:00,2024-01-15 00:00:00,43.00,low,77,,f
T-27d61d,A-c7e58b,2024-01-25 00:00:00,2024-01-25 00:00:00,13.00,medium,171,4,f
T-86e757,A-82d8a6,2023-10-29 00:00:00,2023-10-31 00:00:00,51.00,high,129,,f
T-13e2c4,A-92a3af,2024-03-17 00:00:00,2024-03-19 00:00:00,71.00,medium,29,5,f
T-df9759,A-b7724f,2024-12-30 00:00:00,2024-12-30 00:00:00,15.00,medium,86,3,f
T-c556c6,A-7c5768,2024-11-21 00:00:00,2024-11-23 00:00:00,50.00,high,39,4,f
T-e57828,A-883b7d,2023-04-16 00:00:00,2023-04-17 00:00:00,43.00,high,52,,f
