subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag
S-f5c472,A-faa28c,2024-09-07,,Basic,48,912.00,10944.00,f,f,f,f,monthly,t
S-dbc1ca,A-8adedc,2024-04-24,,Enterprise,14,2786.00,33432.00,f,f,f,f,annual,t
S-dc6dfd,A-e08cd3,2024-09-30,,Pro,67,3283.00,39396.00,f,f,f,f,monthly,t
S-b2d472,A-bcf87c,2024-08-27,2024-11-12,Enterprise,10,1990.00,23880.00,f,f,f,t,annual,f
S-9dfce0,A-e6afc1,2024-08-30,,Pro,2,98.00,1176.00,f,f,f,f,annual,t
S-9cb6a7,A-7f29a7,2024-12-21,,Basic,41,779.00,9348.00,f,f,f,f,monthly,t
S-dabcd2,A-3ce5b8,2024-09-22,,Pro,28,0.00,0.00,t,f,f,f,monthly,t
S-8c3cc8,A-b2225d,2024-10-17,,Basic,47,0.00,0.00,t,f,f,f,monthly,t
S-2923fc,A-fa3095,2024-08-07,,Enterprise,70,13930.00,167160.00,f,f,f,f,annual,t
S-f0a2e5,A-55f257,2024-05-06,,Basic,23,0.00,0.00,t,f,f,f,annual,t
S-025bea,A-9affe6,2024-06-25,,Pro,17,833.00,9996.00,f,t,f,f,monthly,t
S-0e499f,A-296d7c,2024-08-17,,Pro,16,784.00,9408.00,f,f,f,f,annual,f
S-0267b7,A-65a46c,2024-10-17,2024-04-12,Enterprise,13,0.00,0.00,t,f,f,t,monthly,t
S-b5b9a5,A-812c5b,2024-07-25,,Basic,55,1045.00,12540.00,f,f,f,f,monthly,t
S-8e45ba,A-7f8241,2023-12-13,,Basic,34,646.00,7752.00,f,f,f,f,annual,f
S-37ed34,A-d4ac0e,2024-07-07,,Enterprise,20,3980.00,47760.00,f,f,f,f,annual,t
S-65dbf3,A-17939a,2024-12-28,,Basic,36,684.00,8208.00,f,f,f,f,monthly,t
S-ce5450,A-0a282f,2024-12-25,2024-12-28,Pro,8,0.00,0.00,t,f,f,t,annual,t
S-6c969d,A-855a48,2024-08-05,,Basic,14,266.00,3192.00,f,f,f,f,monthly,f
S-522aef,A-f3ff05,2024-08-22,,Pro,4,196.00,2352.00,f,f,f,f,annual,t
S-82db05,A-417d2f,2024-09-12,,Pro,26,1274.00,15288.00,f,f,f,f,monthly,t
S-162596,A-462d45,2024-02-29,,Pro,18,0.00,0.00,t,f,f,f,monthly,t
S-f703bd,A-202b67,2024-04-09,,Pro,11,539.00,6468.00,f,f,f,f,monthly,t
S-a1d6ad,A-eafc6e,2024-01-09,,Pro,27,1323.00,15876.00,f,f,f,f,monthly,t
S-8b1fc1,A-309e54,2024-12-26,,Basic,15,0.00,0.00,t,f,f,f,monthly,t
S-09cdac,A-82861f,2024-07-31,2024-04-09,Basic,41,779.00,9348.00,f,f,f,t,annual,t
S-fa5301,A-ba6516,2024-03-14,,Pro,55,0.00,0.00,t,f,f,f,monthly,f
S-69937b,A-08e34e,2024-08-08,,Pro,14,686.00,8232.00,f,f,f,f,annual,f
S-f2537d,A-e43bf7,2024-01-24,,Pro,44,2156.00,25872.00,f,f,f,f,monthly,t
S-27f7b2,A-a1b80b,2024-03-04,,Basic,38,722.00,8664.00,f,f,f,f,annual,t
S-9c2b8e,A-443f6f,2024-12-26,,Basic,19,361.00,4332.00,f,t,f,f,annual,t
S-a4f26d,A-32728c,2023-05-21,,Pro,20,980.00,11760.00,f,f,f,f,monthly,t
S-0cb6ed,A-ac85cd,2024-09-11,2024-12-18,Pro,53,2597.00,31164.00,f,f,f,t,annual,t
S-367dee,A-e19ff6,2024-06-29,,Pro,1,49.00,588.00,f,f,f,f,annual,t
S-3b9ad8,A-6e08f3,2024-12-24,,Enterprise,28,5572.00,66864.00,f,f,f,f,monthly,f
S-c9f8c1,A-544d0a,2024-07-23,,Enterprise,5,995.00,11940.00,f,f,t,f,monthly,t
S-57cd05,A-8b0451,2024-10-26,,Basic,41,779.00,9348.00,f,f,f,f,annual,t
S-e505c1,A-8ae3fc,2024-09-17,,Pro,34,1666.00,19992.00,f,f,f,f,annual,t
S-121b4d,A-8ae3fc,2024-11-22,,Basic,9,171.00,2052.00,f,f,f,f,annual,t
S-72b4f2,A-4437e4,2024-06-02,,Pro,49,2401.00,28812.00,f,f,f,f,annual,t
S-c9b0cc,A-4d1e75,2024-11-10,,Enterprise,38,7562.00,90744.00,f,f,f,f,monthly,t
S-27c993,A-098560,2024-11-17,,Enterprise,4,796.00,9552.00,f,f,f,f,monthly,t
S-8b9889,A-ac9111,2024-08-18,,Pro,21,1029.00,12348.00,f,f,f,f,monthly,t
S-2214c6,A-3c1a3f,2024-07-10,,Pro,82,4018.00,48216.00,f,f,f,f,monthly,t
S-ce695e,A-cb6cc6,2024-05-25,,Enterprise,13,0.00,0.00,t,f,f,f,annual,f
S-066d80,A-9b9fe9,2024-08-17,,Pro,5,245.00,2940.00,f,f,f,f,monthly,t
S-228457,A-029f69,2024-05-24,,Enterprise,24,4776.00,57312.00,f,f,f,f,annual,t
S-e50612,A-c7e58b,2024-07-15,,Basic,13,247.00,2964.00,f,f,f,f,annual,f
S-64fba3,A-00bed1,2024-07-16,,Enterprise,28,5572.00,66864.00,f,f,f,f,annual,t
S-2372d2,A-cea1f0,2024-12-22,,Enterprise,21,4179.00,50148.00,f,f,f,f,annual,f
S-2661dc,A-c37cab,2024-07-08,,Pro,20,0.00,0.00,t,f,f,f,monthly,t
S-427275,A-4c38bc,2024-07-14,,Enterprise,36,7164.00,85968.00,f,f,f,f,annual,t
S-628729,A-157070,2024-05-10,,Enterprise,23,4577.00,54924.00,f,f,t,f,monthly,t
S-e260ff,A-bcf87c,2024-09-12,,Enterprise,21,4179.00,50148.00,f,f,f,f,annual,t
S-89c03a,A-8ae3fc,2024-09-20,,Pro,9,441.00,5292.00,f,f,f,f,monthly,t
S-86455a,A-1b9609,2023-01-12,,Pro,12,588.00,7056.00,f,f,f,f,monthly,t
S-3660bb,A-474ad4,2024-12-14,,Enterprise,10,0.00,0.00,t,f,f,f,monthly,f
S-6bf7d7,A-9bfc9f,2024-03-23,,Pro,53,2597.00,31164.00,f,f,t,f,annual,f
S-feccd8,A-812c5b,2024-12-22,,Enterprise,55,10945.00,131340.00,f,f,f,f,monthly,t
S-0e4b0c,A-39b19f,2023-02-28,2023-06-15,Pro,24,1176.00,14112.00,f,f,t,t,annual,t
S-0e0578,A-de58ca,2023-09-07,,Basic,15,285.00,3420.00,f,f,f,f,monthly,t
S-74538d,A-e60f9d,2024-11-13,,Pro,46,2254.00,27048.00,f,f,f,f,annual,t
S-c2a6cb,A-9affe6,2023-10-19,,Enterprise,7,1393.00,16716.00,f,t,f,f,annual,f
S-1bd2ec,A-e60f9d,2024-12-25,2024-12-28,Basic,38,722.00,8664.00,f,f,f,t,annual,t
S-3cc352,A-d27f50,2024-06-08,,Pro,44,2156.00,25872.00,f,f,f,f,monthly,t
S-124207,A-fdfc91,2023-08-31,,Basic,29,551.00,6612.00,f,f,f,f,annual,t
S-76e7d9,A-712f1c,2024-09-02,,Enterprise,44,8756.00,105072.00,f,f,f,f,monthly,t
S-44f453,A-19b2c8,2024-10-02,,Enterprise,20,3980.00,47760.00,f,f,f,f,monthly,t
S-03a97f,A-f51f16,2024-03-15,,Pro,60,2940.00,35280.00,f,f,f,f,annual,t
S-80c01c,A-d3c88e,2024-12-16,,Basic,16,304.00,3648.00,f,t,f,f,annual,t
S-666181,A-eb1312,2024-09-10,,Basic,71,1349.00,16188.00,f,f,f,f,annual,t
S-401496,A-68f37c,2023-08-13,2024-06-22,Enterprise,4,796.00,9552.00,f,t,f,t,monthly,t
S-ca0c98,A-fda07f,2024-11-28,,Pro,7,343.00,4116.00,f,f,f,f,monthly,t
S-017e33,A-f9cc74,2024-08-11,2024-11-25,Basic,53,1007.00,12084.00,f,f,f,t,monthly,t
S-183073,A-e7a1e2,2024-07-19,,Enterprise,14,2786.00,33432.00,f,f,f,f,monthly,t
S-22f503,A-7a0d69,2024-06-09,,Basic,6,114.00,1368.00,f,f,f,f,annual,t
S-7de1b7,A-4d1e75,2024-10-27,,Enterprise,20,3980.00,47760.00,f,f,f,f,annual,t
S-c7f564,A-902ef7,2024-11-23,,Pro,83,0.00,0.00,t,t,f,f,annual,t
S-ceffe9,A-89ee83,2024-11-23,,Enterprise,2,398.00,4776.00,f,f,f,f,monthly,t
S-9b2c95,A-e60f9d,2024-11-24,2024-05-12,Pro,29,0.00,0.00,t,f,f,t,annual,t
S-cf6ec1,A-d77f4c,2024-04-08,,Enterprise,22,4378.00,52536.00,f,t,f,f,monthly,f
S-a44d72,A-b30291,2024-12-06,,Pro,18,882.00,10584.00,f,f,f,f,monthly,t
S-0b0ffa,A-180abf,2024-01-17,2024-04-19,Basic,64,0.00,0.00,t,f,f,t,annual,t
S-02af5d,A-d82ef9,2024-07-08,,Enterprise,26,0.00,0.00,t,f,f,f,annual,t
S-d07c53,A-249769,2024-09-24,,Basic,21,399.00,4788.00,f,f,f,f,annual,t
S-c67b80,A-eb2fdc,2024-02-24,,Pro,31,1519.00,18228.00,f,f,f,f,monthly,f
S-5d68fb,A-5f2961,2024-02-12,,Pro,49,2401.00,28812.00,f,f,f,f,annual,t
S-fc9cc3,A-9b9fe9,2024-01-01,,Pro,24,1176.00,14112.00,f,f,f,f,annual,t
S-17f71d,A-e40f45,2024-05-15,,Pro,44,2156.00,25872.00,f,t,f,f,monthly,t
S-5895f0,A-bcf664,2023-05-10,,Basic,8,0.00,0.00,t,f,f,f,annual,t
S-b042d9,A-0e966d,2024-11-15,,Enterprise,11,2189.00,26268.00,f,f,f,f,annual,t
S-ffd1ee,A-f03140,2024-06-11,,Pro,27,0.00,0.00,t,f,f,f,annual,t
S-9c4bcd,A-a7bd4b,2024-05-14,,Pro,5,245.00,2940.00,f,t,f,f,monthly,t
S-4f91d0,A-7f8241,2024-12-10,,Basic,34,646.00,7752.00,f,f,f,f,monthly,f
S-672f1b,A-eafc6e,2023-08-08,,Pro,27,1323.00,15876.00,f,f,f,f,monthly,t
S-101201,A-d49cc5,2024-02-13,,Basic,50,950.00,11400.00,f,f,f,f,annual,t
S-eea643,A-54ecc2,2024-10-30,,Enterprise,28,5572.00,66864.00,f,f,f,f,monthly,t
S-5f9a67,A-6da850,2023-04-12,,Pro,5,245.00,2940.00,f,f,f,f,annual,t
S-327e7c,A-4e960a,2024-07-02,,Enterprise,17,0.00,0.00,t,f,f,f,annual,t
S-d97c5f,A-533452,2024-11-25,,Pro,101,4949.00,59388.00,f,f,f,f,monthly,t
S-029c20,A-f44180,2024-12-13,,Basic,10,0.00,0.00,t,f,f,f,annual,f
S-a74462,A-7c83a1,2024-05-14,,Pro,48,2352.00,28224.00,f,f,f,f,annual,t
S-02ec76,A-e60f9d,2024-09-17,,Pro,29,1421.00,17052.00,f,f,f,f,monthly,t
S-d1c9e3,A-075038,2024-09-01,,Basic,17,323.00,3876.00,f,f,f,f,annual,t
S-51d8db,A-cc1d8d,2024-12-30,,Enterprise,6,1194.00,14328.00,f,f,f,f,annual,t
S-c3c85e,A-271f46,2024-10-31,,Basic,38,722.00,8664.00,f,f,f,f,monthly,t
S-44a646,A-1e1b80,2023-12-26,,Basic,50,950.00,11400.00,f,f,f,f,annual,t
S-431c03,A-e4bf56,2024-02-12,2024-12-19,Enterprise,37,7363.00,88356.00,f,f,f,t,monthly,t
S-4f0027,A-ff79f2,2024-12-31,2024-12-31,Enterprise,19,3781.00,45372.00,f,f,f,t,annual,t
S-6c9ee1,A-6da850,2024-02-20,,Enterprise,23,0.00,0.00,t,f,f,f,monthly,t
S-396a84,A-5b4ebb,2024-10-23,2024-11-27,Basic,21,399.00,4788.00,f,f,f,t,monthly,f
S-6bea24,A-3f9cc0,2024-06-07,,Basic,22,0.00,0.00,t,f,f,f,monthly,t
S-259804,A-d4ac0e,2024-01-10,,Basic,28,532.00,6384.00,f,f,f,f,annual,t
S-33e40e,A-86cdb4,2024-10-10,2024-12-29,Enterprise,2,398.00,4776.00,f,f,f,t,annual,t
S-fbd522,A-310452,2024-12-28,,Pro,9,0.00,0.00,t,f,f,f,annual,f
S-bbafad,A-854864,2024-12-27,2024-12-30,Basic,20,380.00,4560.00,f,f,f,t,annual,t
S-3edc14,A-d82ef9,2024-04-10,,Pro,26,0.00,0.00,t,f,f,f,annual,t
S-11e29d,A-71615e,2024-10-13,,Basic,32,608.00,7296.00,f,f,f,f,monthly,t
S-1feff8,A-5fe118,2024-06-12,,Enterprise,39,7761.00,93132.00,f,f,f,f,annual,t
S-61e86c,A-39ddf4,2024-07-12,,Enterprise,40,7960.00,95520.00,f,f,f,f,annual,t
S-af41f0,A-e83938,2024-06-27,,Basic,2,38.00,456.00,f,f,f,f,annual,f
S-65ae02,A-671f31,2024-12-14,,Pro,59,2891.00,34692.00,f,f,f,f,annual,t
S-f7fccd,A-443b7c,2024-11-18,,Basic,6,0.00,0.00,t,t,f,f,annual,t
S-7904d3,A-d4e0d4,2024-11-30,2024-03-12,Enterprise,117,23283.00,279396.00,f,f,f,t,monthly,t
S-48a54e,A-b2225d,2024-10-29,,Basic,47,0.00,0.00,t,f,f,f,monthly,t
S-4a08bd,A-e08cd3,2024-11-10,,Pro,67,3283.00,39396.00,f,f,f,f,annual,f
S-faa8ec,A-2e4581,2024-09-12,,Basic,11,209.00,2508.00,f,f,f,f,monthly,t
S-8db104,A-4a267b,2024-10-18,,Pro,25,1225.00,14700.00,f,f,t,f,monthly,t
S-3c0121,A-7c83a1,2024-12-30,,Pro,24,1176.00,14112.00,f,f,f,f,monthly,t
S-13ca37,A-6843f2,2024-12-21,,Pro,21,0.00,0.00,t,f,t,f,monthly,t
S-163e64,A-dfbd31,2024-08-11,,Enterprise,62,12338.00,148056.00,f,f,f,f,monthly,t
S-4d1ba6,A-00cac8,2024-04-04,,Enterprise,9,0.00,0.00,t,f,f,f,annual,f
S-e98d6b,A-309e54,2024-12-31,,Basic,15,285.00,3420.00,f,f,f,f,annual,t
S-041624,A-6843f2,2024-12-12,,Enterprise,21,4179.00,50148.00,f,f,f,f,monthly,t
S-b78829,A-2e4581,2024-12-11,,Pro,20,980.00,11760.00,f,f,f,f,monthly,t
S-ca1c21,A-f92792,2024-02-12,,Basic,9,0.00,0.00,t,f,f,f,annual,f
S-e1de58,A-ce550d,2024-10-28,,Enterprise,35,6965.00,83580.00,f,t,f,f,annual,t
S-721fea,A-f6b2fb,2024-05-23,,Pro,23,1127.00,13524.00,f,f,t,f,monthly,t
S-eaac58,A-ff3c73,2023-08-04,,Basic,66,1254.00,15048.00,f,f,f,f,annual,t
S-1218fd,A-2d4502,2024-02-11,,Basic,14,266.00,3192.00,f,t,f,f,monthly,f
S-936732,A-2f6a32,2024-11-28,2024-06-12,Pro,19,931.00,11172.00,f,f,f,t,annual,t
S-c2f293,A-69b156,2024-10-12,2024-12-30,Basic,8,152.00,1824.00,f,f,f,t,monthly,f
S-fe3b71,A-44dc83,2024-09-24,,Enterprise,37,0.00,0.00,t,f,f,f,monthly,t
S-f5f5b3,A-89ee83,2024-12-26,2024-12-29,Basic,10,190.00,2280.00,f,f,f,t,annual,t
S-4afb53,A-40de06,2023-12-12,2024-12-29,Enterprise,28,5572.00,66864.00,f,f,f,t,monthly,t
S-851bbe,A-d77f4c,2024-04-22,,Enterprise,94,18706.00,224472.00,f,t,f,f,annual,t
S-dab0d5,A-cc1d8d,2024-12-14,,Basic,5,0.00,0.00,t,f,f,f,monthly,t
S-9aa190,A-9b9fe9,2024-10-17,,Basic,33,627.00,7524.00,f,f,f,f,annual,t
S-f89d8c,A-88c6ca,2024-12-18,,Pro,49,2401.00,28812.00,f,f,f,f,monthly,t
S-766a62,A-1ac5e0,2024-11-24,,Enterprise,33,0.00,0.00,t,f,f,f,monthly,f
S-10134d,A-52dd88,2024-09-09,,Enterprise,23,4577.00,54924.00,f,f,f,f,annual,t
S-85de7a,A-940b8b,2024-01-04,,Enterprise,32,6368.00,76416.00,f,f,t,f,annual,t
S-85796b,A-f19409,2024-08-27,2024-10-31,Enterprise,23,4577.00,54924.00,f,f,f,t,monthly,t
S-c97464,A-f5641b,2024-10-16,,Pro,38,1862.00,22344.00,f,f,f,f,monthly,f
S-6732ff,A-9affe6,2023-11-22,,Pro,24,1176.00,14112.00,f,f,f,f,annual,t
S-aa20eb,A-6f8ad2,2024-08-09,,Pro,1,49.00,588.00,f,f,f,f,monthly,f
S-b6aabe,A-902ef7,2024-12-25,,Basic,83,1577.00,18924.00,f,f,f,f,annual,t
S-0ff339,A-6dee43,2024-01-21,,Basic,12,228.00,2736.00,f,f,f,f,annual,t
S-4d664d,A-cc1d8d,2024-12-26,,Pro,16,784.00,9408.00,f,t,t,f,annual,t
S-8deb5f,A-533452,2024-12-25,,Basic,52,988.00,11856.00,f,f,f,f,annual,f
S-e2d4e9,A-18793f,2024-12-30,,Basic,148,0.00,0.00,t,t,f,f,monthly,t
S-d8441d,A-8adedc,2024-03-16,,Basic,4,76.00,912.00,f,f,f,f,annual,t
S-6d356a,A-425e76,2023-06-26,,Basic,28,532.00,6384.00,f,f,f,f,annual,f
S-c005ac,A-92a3af,2024-09-18,,Enterprise,25,4975.00,59700.00,f,f,f,f,annual,t
S-d0913e,A-eb2fdc,2024-11-14,,Pro,31,1519.00,18228.00,f,f,f,f,monthly,t
S-4bef15,A-600734,2024-08-14,2024-09-22,Enterprise,29,0.00,0.00,t,f,f,t,annual,t
S-2573e4,A-7f8241,2024-01-25,,Basic,60,1140.00,13680.00,f,f,f,f,monthly,t
S-80c291,A-712533,2024-06-01,,Enterprise,18,3582.00,42984.00,f,f,f,f,annual,t
S-64acb8,A-3be56b,2024-08-21,,Enterprise,30,5970.00,71640.00,f,f,f,f,monthly,t
S-13a948,A-d5a319,2024-07-24,,Enterprise,15,2985.00,35820.00,f,t,f,f,monthly,f
S-081b81,A-b20d99,2024-01-30,,Basic,20,380.00,4560.00,f,f,f,f,annual,t
S-68c537,A-9ee962,2024-06-06,,Enterprise,29,5771.00,69252.00,f,f,f,f,monthly,t
S-3f82bc,A-d5a319,2023-10-30,,Basic,15,0.00,0.00,t,f,t,f,monthly,t
S-fe6311,A-5c9849,2024-11-11,,Enterprise,19,0.00,0.00,t,f,f,f,monthly,t
S-b3c4b8,A-c43359,2024-12-17,,Pro,38,0.00,0.00,t,f,f,f,annual,t
S-8923b3,A-157070,2024-05-17,,Basic,27,513.00,6156.00,f,f,f,f,annual,t
S-2410c6,A-5247b3,2024-11-05,,Basic,33,627.00,7524.00,f,f,f,f,annual,f
S-7a06fe,A-5a92e7,2024-09-28,,Pro,28,1372.00,16464.00,f,f,f,f,monthly,t
S-ceaca8,A-96e141,2024-10-08,,Enterprise,24,4776.00,57312.00,f,f,f,f,monthly,t
S-02c3e7,A-7c4956,2024-08-14,,Enterprise,6,1194.00,14328.00,f,f,f,f,annual,t
S-3a1a06,A-eb7fac,2024-09-07,,Enterprise,14,2786.00,33432.00,f,f,f,f,monthly,t
S-7f5d03,A-22d9d2,2024-10-06,,Pro,25,1225.00,14700.00,f,f,f,f,monthly,f
S-c10f0c,A-0f7d77,2024-11-11,,Basic,6,114.00,1368.00,f,f,f,f,monthly,f
S-cdd00a,A-4e44e8,2024-08-23,,Basic,38,722.00,8664.00,f,f,f,f,monthly,t
S-d57a67,A-2446e3,2024-07-14,,Pro,27,1323.00,15876.00,f,f,f,f,monthly,t
S-f75ac4,A-faa28c,2024-02-17,,Enterprise,48,0.00,0.00,t,f,f,f,annual,t
S-76c59f,A-0aaf6e,2024-01-08,,Basic,24,456.00,5472.00,f,f,f,f,annual,t
S-0a15fa,A-bb1eaa,2024-12-12,,Pro,25,1225.00,14700.00,f,f,f,f,annual,t
S-d0f5fb,A-39868b,2024-04-25,,Enterprise,9,1791.00,21492.00,f,f,f,f,annual,f
S-ffb6cc,A-94d3da,2024-09-28,,Enterprise,41,8159.00,97908.00,f,f,f,f,monthly,f
S-1b8300,A-faa28c,2024-05-23,,Enterprise,48,0.00,0.00,t,t,f,f,monthly,t
S-88de1c,A-18793f,2024-12-24,,Basic,148,2812.00,33744.00,f,f,f,f,annual,t
S-a88ffd,A-cc102e,2024-06-09,,Pro,13,637.00,7644.00,f,f,f,f,annual,t
S-f12a54,A-f3ff05,2024-11-24,,Pro,2,98.00,1176.00,f,f,f,f,monthly,t
S-f9b284,A-22d9d2,2024-02-07,,Pro,8,392.00,4704.00,f,f,f,f,annual,t
S-61e53d,A-d42431,2024-11-15,2024-12-14,Basic,22,418.00,5016.00,f,f,f,t,annual,f
S-4c5456,A-149a69,2024-12-19,,Basic,34,646.00,7752.00,f,f,f,f,monthly,t
S-b15cde,A-ee42db,2023-01-05,,Pro,13,637.00,7644.00,f,f,f,f,monthly,t
S-9e6a18,A-7d514c,2024-06-11,,Pro,21,1029.00,12348.00,f,t,f,f,monthly,f
S-0b2ac3,A-d792a6,2024-01-01,,Basic,7,0.00,0.00,t,f,f,f,annual,t
S-cb8a5c,A-1e6fc3,2024-12-17,,Enterprise,1,199.00,2388.00,f,f,f,f,annual,t
